title,type,year,duration,rating,genres,descriptors,tubi_url,torrent_found,seed_status,max_seeders,total_results
FernGully: The Last Rainforest,movie,1992,1h 16m,G,"Fantasy, Adventure, Kids & Family, Animation",,https://tubitv.com/movies/715229/ferngully-the-last-rainforest,True,healthy,148,52
The Rugrats Movie,movie,1998,1h 20m,G,"Kids & Family, Animation, Comedy, Adventure, Drama",,https://tubitv.com/movies/519061/the-rugrats-movie,True,healthy,42,71
The Dark Crystal,movie,1982,1h 34m,PG,"Kids & Family, Adventure, Fantasy",,https://tubitv.com/movies/100021025/the-dark-crystal,True,healthy,140,151
Labyrinth,movie,1986,1h 42m,PG,"Fantasy, Adventure, Kids & Family",,https://tubitv.com/movies/100021024/labyrinth,True,healthy,106,176
Howard the Duck,movie,1986,1h 51m,PG,"Comedy, Sci-Fi",,https://tubitv.com/movies/100000867/howard-the-duck,True,healthy,290,116
Teen Wolf,movie,1985,1h 33m,PG,"Comedy, Fantasy",,https://tubitv.com/movies/348455/teen-wolf,True,healthy,312,157
Mid90s,movie,2018,1h 26m,R,"Drama, Comedy, Independent",,https://tubitv.com/movies/711013/mid90s,True,healthy,204,87
Superbad,movie,2007,1h 54m,R,Comedy,,https://tubitv.com/movies/710383/superbad,True,healthy,135,155
Legally Blonde,movie,2001,1h 37m,PG-13,"Comedy, Romance",,https://tubitv.com/movies/358573/legally-blonde,True,healthy,331,125
Bring It On,movie,2000,1h 39m,PG-13,"Comedy, Sport, Romance",,https://tubitv.com/movies/100002047/bring-it-on,True,healthy,478,169
Scream,movie,1996,1h 52m,R,Horror,,https://tubitv.com/movies/100054992/scream,True,healthy,2647,256
Coyote Ugly,movie,2000,1h 41m,PG-13,"Comedy, Drama",,https://tubitv.com/movies/607991/coyote-ugly,True,healthy,183,124
ATL,movie,2006,1h 47m,PG-13,"Comedy, Drama, Romance, Music, Crime",,https://tubitv.com/movies/637111/atl,True,healthy,100,194
"South Park: Bigger, Longer & Uncut",movie,1999,1h 22m,R,"Animation, Comedy, Musicals",,https://tubitv.com/movies/314557/south-park-bigger-longer-uncut,True,healthy,2035,116
Snowpiercer,movie,2013,2h 7m,R,"Sci-Fi, Action, Drama",,https://tubitv.com/movies/589397/snowpiercer,True,healthy,138,153
A Few Good Men,movie,1992,2h 19m,R,"Drama, War",,https://tubitv.com/movies/695499/a-few-good-men,True,healthy,128,145
Airplane!,movie,1980,1h 28m,PG,Comedy,,https://tubitv.com/movies/519071/airplane,True,healthy,167,112
Blood and Bone,movie,2009,1h 34m,R,"Drama, Action, Crime",,https://tubitv.com/movies/694142/blood-and-bone,True,healthy,526,127
Fist of Fury,movie,1972,1h 47m,R,"Action, Drama, Foreign/International",,https://tubitv.com/movies/497642/fist-of-fury,True,healthy,367,150
The Martial Arts Kid,movie,2015,1h 44m,TV-14,"Action, Kids & Family",,https://tubitv.com/movies/697872/the-martial-arts-kid,True,healthy,11,3
